pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
10418,2745.37,2744.39,7,2745,Buy,0.2600000000002183,1.0599999999999454,-5.78
10419,2745.88,2744.49,7,2745.98,Buy,0.09999999999990905,0.2899999999999636,-6.76
10420,2745.42,2738.71,7,2745.52,Buy,0.8299999999999272,2.119999999999891,-5.04
10421,2745.38,2738.71,7,2744.89,Buy,0.6399999999998727,0.8299999999999272,-5.25
10422,2745.38,2738.71,7,2743.44,Buy,1.449999999999818,0.6399999999998727,-5.19
10423,2745.38,2739.13,7,2743.48,Buy,0.13999999999987267,1.449999999999818,-5.71
10424,2744.63,2741.57,7,2744.73,Buy,0.8099999999999454,0.41000000000030923,-5.04
10425,2737.29,2735.32,7,2737.39,Buy,0.3400000000001455,0.7699999999999818,-5.07
10426,2737.44,2735.73,7,2737.51,Buy,0.15000000000009095,0.3400000000001455,-5.03
10427,2734.62,2732.7,7,2734.72,Buy,0.43000000000029104,0.9099999999998545,-7.02
10428,2734.71,2732.7,7,2734.78,Buy,0.09000000000014552,0.43000000000029104,-8.51
10429,2735.6,2732.7,7,2735.7,Buy,0.06999999999970896,1.1599999999998545,-5.08
10430,2736.45,2733,7,2736.55,Buy,0.8400000000001455,0.06999999999970896,-6.03
10431,2737.93,2735.44,7,2738.03,Buy,0.15999999999985448,0.2300000000000182,-5.01
10432,2737.92,2735.44,7,2737.79,Buy,0.21000000000003638,0.15999999999985448,-7.27
10433,2737.92,2735.44,7,2737.65,Buy,0.20000000000027285,0.21000000000003638,-7.13
10434,2737.93,2735.47,7,2738.03,Buy,0.30999999999994543,0.20000000000027285,-5.3
10435,2738.23,2736.3,7,2738.27,Buy,0.3000000000001819,0.30999999999994543,-5.54
10436,2738.35,2736.74,7,2738.45,Buy,0.13999999999987267,0.3000000000001819,-5.2
10437,2738.61,2736.76,7,2738.68,Buy,0.3400000000001455,0.2699999999999818,-5.22
10438,2739,2736.76,8,2739.03,Buy,0.42000000000007276,0.3400000000001455,-5.57
10439,2739.14,2736.76,8,2739.21,Buy,0.21000000000003638,0.42000000000007276,-5.07
10440,2739.14,2736.76,8,2738.81,Buy,0.42000000000007276,0.21000000000003638,-5.35
10441,2739.14,2737.2,8,2739.23,Buy,0.4299999999998363,0.42000000000007276,-5.2
10442,2739.14,2737.51,7,2738.53,Buy,0.6700000000000728,0.4299999999998363,-5.1
10443,2738.63,2737.75,7,2738.73,Buy,0.03999999999996362,0.25,-5.13
10444,2738.58,2737.75,7,2738.42,Buy,0.3000000000001819,0.03999999999996362,-5.03
10445,2738.75,2737.75,8,2738.85,Buy,0.4299999999998363,0.3000000000001819,-5.6
10446,2738.77,2738.18,8,2738.87,Buy,0.010000000000218279,0.4299999999998363,-5.41
10447,2739,2738.18,8,2739.1,Buy,0.17000000000007276,0.010000000000218279,-5.09
10448,2739.33,2738.24,8,2739.41,Buy,0.32999999999992724,0.17000000000007276,-5.19
